Choice1,Choice2,Choice3,Chosen,TimeTaken,Likert
LL,MM,HH,HH,4464,CC
LL,MM,HH,HH,2416,CC
LL,MM,HH,HH,3917,CC
LL,MM,HH,HH,5412,CC
LL,MM,HH,HH,10412,CC
LL,MM,HH,HH,4017,FC
LL,MM,HH,HH,6781,FC
LL,MM,HH,MM,1103,FC
LL,MM,HH,HH,12201,CC
LL,MM,HH,HH,12000,CC
LL,MM,HH,HH,5688,CC
LL,MM,HH,HH,9984,CC
LL,MM,HH,HH,4717,CC
LL,MM,HH,HH,4230,CC
LL,MM,HH,HH,8216,SC
LL,MM,HH,HH,5581,FC
LL,MM,HH,HH,7637,CC
LL,MM,HH,HH,6241,FC
LL,MM,HH,HH,5027,CC
LL,MM,HH,HH,5368,FC
LL,MM,HH,HH,10794,CC
LL,MM,HH,HH,8530,CC
LL,MM,HH,HH,7382,FC
LL,MM,HH,HH,5259,FC
LL,MM,HH,HH,10185,CC
HL,LM ,MH,MH,3689,FC
HL,LM ,MH,MH,3926,FC
HL,LM ,MH,MH,5970,CC
HL,LM ,MH,HL,6741,FC
HL,LM ,MH,MH,8020,CC
HL,LM ,MH,MH,4656,CC
HL,LM ,MH,MH,2028,FC
HL,LM ,MH,HL,8495,FC
HL,LM ,MH,HL,9768,CC
HL,LM ,MH,MH,6320,CC
HL,LM ,MH,MH,12880,CC
HL,LM ,MH,MH,7808,CC
HL,LM ,MH,MH,5211,FC
HL,LM ,MH,MH,10893,FC
HL,LM ,MH,MH,49915,FC
HL,LM ,MH,MH,9385,FC
HL,LM ,MH,MH,13752,FC
HL,LM ,MH,MH,6772,SC
HL,LM ,MH,MH,7907,FC
HL,LM ,MH,HL,12366,FC
HL,LM ,MH,HL,24059,FC
HL,LM ,MH,MH,10152,CC
HL,LM ,MH,LM,8132,CC
HL,LM ,MH,MH,11554,SC
HL,LM ,MH,MH,12400,FC
HL,LH,MM,MM,3272,FC
HL,LH,MM,HL,5015,SC
HL,LH,MM,MM,6437,FC
HL,LH,MM,MM,5107,FC
HL,LH,MM,LH,11899,FC
HL,LH,MM,MM,3352,CC
HL,LH,MM,LH,2916,SC
HL,LH,MM,MM,10794,CC
HL,LH,MM,MM,11840,FC
HL,LH,MM,LH,3056,CC
HL,LH,MM,MM,7272,CC
HL,LH,MM,MM,9096,FC
HL,LH,MM,HL,4498,FC
HL,LH,MM,MM,6873,CC
HL,LH,MM,MM,42299,SC
HL,LH,MM,MM,8125,FC
HL,LH,MM,HL,17269,SLC
HL,LH,MM,MM,8150,SC
HL,LH,MM,MM,9144,FC
HL,LH,MM,MM,4173,FC
HL,LH,MM,MM,8335,SC
HL,LH,MM,MM,7939,CC
HL,LH,MM,HL,10751,FC
HL,LH,MM,LH,3483,FC
HL,LH,MM,MM,11487,FC
HL,LH,MM,HL,2359,CC
HL,LH,MM,LH,2880,CC
HL,LH,MM,LH,5950,FC
HL,LH,MM,MM,8136,FC
HL,LH,MM,LH,7462,CC
HL,LH,MM,MM,3407,CC
HL,LH,MM,LH,2224,CC
HL,LH,MM,MM,5695,CC
HL,LH,MM,LH,27088,FC
HL,LH,MM,LH,4016,CC
HL,LH,MM,LH,8736,CC
HL,LH,MM,LH,6672,CC
HL,LH,MM,LH,6903,CC
HL,LH,MM,MM,8895,FC
HL,LH,MM,LH,5807,FC
HL,LH,MM,LH,8183,FC
HL,LH,MM,HL,19879,SLC
HL,LH,MM,LH,24969,FC
HL,LH,MM,LH,5923,CC
HL,LH,MM,MM,4176,FC
HL,LH,MM,MM,5485,CC
HL,LH,MM,MM,7734,CC
HL,LH,MM,LH,13832,CC
HL,LH,MM,LH,2611,FC
HL,LH,MM,MM,31510,FC
MH,LM,HL,HL,1632,CC
MH,LM,HL,HL,7000,CC
MH,LM,HL,MH,5362,FC
MH,LM,HL,HL,3862,CC
MH,LM,HL,MH,6900,CC
MH,LM,HL,HL,5582,FC
MH,LM,HL,MH,2716,FC
MH,LM,HL,MH,6236,CC
MH,LM,HL,MH,19192,FC
MH,LM,HL,MH,5304,CC
MH,LM,HL,MH,8928,CC
MH,LM,HL,MH,5280,CC
MH,LM,HL,HL,8194,CC
MH,LM,HL,MH,5847,CC
MH,LM,HL,MH,13849,FC
MH,LM,HL,MH,13378,FC
MH,LM,HL,HL,21707,SLC
MH,LM,HL,MH,11110,FC
MH,LM,HL,MH,9127,FC
MH,LM,HL,HL,4736,FC
MH,LM,HL,HL,7774,FC
MH,LM,HL,MH,11651,FC
MH,LM,HL,LM,7832,CC
MH,LM,HL,HL,15142,FC
MH,LM,HL,HL,8463,CC
LL,HH,MM,MM,4752,CC
LL,HH,MM,HH,2385,CC
LL,HH,MM,HH,17683,FC
LL,HH,MM,HH,9321,CC
LL,HH,MM,HH,10708,CC
LL,HH,MM,HH,6416,CC
LL,HH,MM,HH,10183,FC
LL,HH,MM,HH,13286,FC
LL,HH,MM,HH,10472,CC
LL,HH,MM,HH,11360,CC
LL,HH,MM,HH,4464,CC
LL,HH,MM,MM,8904,FC
LL,HH,MM,HH,4680,CC
LL,HH,MM,HH,5778,CC
LL,HH,MM,HH,22244,CC
LL,HH,MM,HH,24886,CC
LL,HH,MM,HH,7922,CC
LL,HH,MM,MM,6824,SC
LL,HH,MM,HH,6990,CC
LL,HH,MM,HH,7986,FC
LL,HH,MM,HH,11126,CC
LL,HH,MM,HH,10768,CC
LL,HH,MM,HH,13399,FC
LL,HH,MM,HH,71943,CC
LL,HH,MM,HH,28042,SC
HL,MH,LM,HL,4296,FC
HL,MH,LM,MH,20209,SC
HL,MH,LM,MH,9825,FC
HL,MH,LM,HL,101139,FC
HL,MH,LM,MH,17068,FC
HL,MH,LM,MH,7828,CC
HL,MH,LM,MH,2825,FC
HL,MH,LM,LM,11396,FC
HL,MH,LM,MH,13672,CC
HL,MH,LM,MH,8287,CC
HL,MH,LM,MH,5720,CC
HL,MH,LM,MH,7623,CC
HL,MH,LM,MH,5977,FC
HL,MH,LM,MH,11521,CC
HL,MH,LM,MH,19586,CC
HL,MH,LM,MH,32448,FC
HL,MH,LM,HL,15606,FC
HL,MH,LM,MH,8321,FC
HL,MH,LM,MH,8581,CC
HL,MH,LM,MH,9167,FC
HL,MH,LM,MH,18017,SC
HL,MH,LM,MH,6435,CC
HL,MH,LM,LM,7057,CC
HL,MH,LM,HL,22628,CC
HL,MH,LM,MH,7487,FC
HL,MM,LH,LH,5992,CC
HL,MM,LH,MM,4744,SC
HL,MM,LH,MM,8536,FC
HL,MM,LH,HL,14652,CC
HL,MM,LH,MM,7206,FC
HL,MM,LH,MM,6990,FC
HL,MM,LH,MM,11961,FC
HL,MM,LH,HL,10337,CC
HL,MM,LH,MM,10312,FC
HL,MM,LH,MM,14319,CC
HL,MM,LH,MM,6408,CC
HL,MM,LH,MM,20311,FC
HL,MM,LH,MM,8333,FC
HL,MM,LH,MM,10202,CC
HL,MM,LH,MM,20129,SC
HL,MM,LH,MM,32511,SLC
HL,MM,LH,MM,17037,FC
HL,MM,LH,MM,12110,SC
HL,MM,LH,MM,5329,CC
HL,MM,LH,MM,10541,FC
HL,MM,LH,MM,15258,SC
HL,MM,LH,LH,9558,CC
HL,MM,LH,MM,8924,CC
HL,MM,LH,MM,6263,FC
HL,MM,LH,MM,9447,CC
HL,MM,LH,HL,4000,CC
HL,MM,LH,MM,19575,SC
HL,MM,LH,HL,5450,SC
HL,MM,LH,MM,5648,CC
HL,MM,LH,LH,6742,CC
HL,MM,LH,MM,9318,FC
HL,MM,LH,LH,3333,CC
