C1_R,C1_NR,C2_R,C2_NR,C3_R,C3_NR,CC_R,CC_NR,TimeTaken,Likert
L,L,M,M,H,H,H,H,4464,CC
L,L,M,M,H,H,H,H,2416,CC
L,L,M,M,H,H,H,H,3917,CC
L,L,M,M,H,H,H,H,5412,CC
L,L,M,M,H,H,H,H,10412,CC
L,L,M,M,H,H,H,H,4017,FC
L,L,M,M,H,H,H,H,6781,FC
L,L,M,M,H,H,M,M,1103,FC
L,L,M,M,H,H,H,H,12201,CC
L,L,M,M,H,H,H,H,12000,CC
L,L,M,M,H,H,H,H,5688,CC
L,L,M,M,H,H,H,H,9984,CC
L,L,M,M,H,H,H,H,4717,CC
L,L,M,M,H,H,H,H,4230,CC
L,L,M,M,H,H,H,H,8216,SC
L,L,M,M,H,H,H,H,5581,FC
L,L,M,M,H,H,H,H,7637,CC
L,L,M,M,H,H,H,H,6241,FC
L,L,M,M,H,H,H,H,5027,CC
L,L,M,M,H,H,H,H,5368,FC
L,L,M,M,H,H,H,H,10794,CC
L,L,M,M,H,H,H,H,8530,CC
L,L,M,M,H,H,H,H,7382,FC
L,L,M,M,H,H,H,H,5259,FC
L,L,M,M,H,H,H,H,10185,CC
H,L,L,M,M,H,M,H,3689,FC
H,L,L,M,M,H,M,H,3926,FC
H,L,L,M,M,H,M,H,5970,CC
H,L,L,M,M,H,H,L,6741,FC
H,L,L,M,M,H,M,H,8020,CC
H,L,L,M,M,H,M,H,4656,CC
H,L,L,M,M,H,M,H,2028,FC
H,L,L,M,M,H,H,L,8495,FC
H,L,L,M,M,H,H,L,9768,CC
H,L,L,M,M,H,M,H,6320,CC
H,L,L,M,M,H,M,H,12880,CC
H,L,L,M,M,H,M,H,7808,CC
H,L,L,M,M,H,M,H,5211,FC
H,L,L,M,M,H,M,H,10893,FC
H,L,L,M,M,H,M,H,49915,FC
H,L,L,M,M,H,M,H,9385,FC
H,L,L,M,M,H,M,H,13752,FC
H,L,L,M,M,H,M,H,6772,SC
H,L,L,M,M,H,M,H,7907,FC
H,L,L,M,M,H,H,L,12366,FC
H,L,L,M,M,H,H,L,24059,FC
H,L,L,M,M,H,M,H,10152,CC
H,L,L,M,M,H,L,M,8132,CC
H,L,L,M,M,H,M,H,11554,SC
H,L,L,M,M,H,M,H,12400,FC
H,L,L,H,M,M,M,M,3272,FC
H,L,L,H,M,M,H,L,5015,SC
H,L,L,H,M,M,M,M,6437,FC
H,L,L,H,M,M,M,M,5107,FC
H,L,L,H,M,M,L,H,11899,FC
H,L,L,H,M,M,M,M,3352,CC
H,L,L,H,M,M,L,H,2916,SC
H,L,L,H,M,M,M,M,10794,CC
H,L,L,H,M,M,M,M,11840,FC
H,L,L,H,M,M,L,H,3056,CC
H,L,L,H,M,M,M,M,7272,CC
H,L,L,H,M,M,M,M,9096,FC
H,L,L,H,M,M,H,L,4498,FC
H,L,L,H,M,M,M,M,6873,CC
H,L,L,H,M,M,M,M,42299,SC
H,L,L,H,M,M,M,M,8125,FC
H,L,L,H,M,M,H,L,17269,SLC
H,L,L,H,M,M,M,M,8150,SC
H,L,L,H,M,M,M,M,9144,FC
H,L,L,H,M,M,M,M,4173,FC
H,L,L,H,M,M,M,M,8335,SC
H,L,L,H,M,M,M,M,7939,CC
H,L,L,H,M,M,H,L,10751,FC
H,L,L,H,M,M,L,H,3483,FC
H,L,L,H,M,M,M,M,11487,FC
H,L,L,H,M,M,H,L,2359,CC
H,L,L,H,M,M,L,H,2880,CC
H,L,L,H,M,M,L,H,5950,FC
H,L,L,H,M,M,M,M,8136,FC
H,L,L,H,M,M,L,H,7462,CC
H,L,L,H,M,M,M,M,3407,CC
H,L,L,H,M,M,L,H,2224,CC
H,L,L,H,M,M,M,M,5695,CC
H,L,L,H,M,M,L,H,27088,FC
H,L,L,H,M,M,L,H,4016,CC
H,L,L,H,M,M,L,H,8736,CC
H,L,L,H,M,M,L,H,6672,CC
H,L,L,H,M,M,L,H,6903,CC
H,L,L,H,M,M,M,M,8895,FC
H,L,L,H,M,M,L,H,5807,FC
H,L,L,H,M,M,L,H,8183,FC
H,L,L,H,M,M,H,L,19879,SLC
H,L,L,H,M,M,L,H,24969,FC
H,L,L,H,M,M,L,H,5923,CC
H,L,L,H,M,M,M,M,4176,FC
H,L,L,H,M,M,M,M,5485,CC
H,L,L,H,M,M,M,M,7734,CC
H,L,L,H,M,M,L,H,13832,CC
H,L,L,H,M,M,L,H,2611,FC
H,L,L,H,M,M,M,M,31510,FC
M,H,L,M,H,L,H,L,1632,CC
M,H,L,M,H,L,H,L,7000,CC
M,H,L,M,H,L,M,H,5362,FC
M,H,L,M,H,L,H,L,3862,CC
M,H,L,M,H,L,M,H,6900,CC
M,H,L,M,H,L,H,L,5582,FC
M,H,L,M,H,L,M,H,2716,FC
M,H,L,M,H,L,M,H,6236,CC
M,H,L,M,H,L,M,H,19192,FC
M,H,L,M,H,L,M,H,5304,CC
M,H,L,M,H,L,M,H,8928,CC
M,H,L,M,H,L,M,H,5280,CC
M,H,L,M,H,L,H,L,8194,CC
M,H,L,M,H,L,M,H,5847,CC
M,H,L,M,H,L,M,H,13849,FC
M,H,L,M,H,L,M,H,13378,FC
M,H,L,M,H,L,H,L,21707,SLC
M,H,L,M,H,L,M,H,11110,FC
M,H,L,M,H,L,M,H,9127,FC
M,H,L,M,H,L,H,L,4736,FC
M,H,L,M,H,L,H,L,7774,FC
M,H,L,M,H,L,M,H,11651,FC
M,H,L,M,H,L,L,M,7832,CC
M,H,L,M,H,L,H,L,15142,FC
M,H,L,M,H,L,H,L,8463,CC
L,L,H,H,M,M,M,M,4752,CC
L,L,H,H,M,M,H,H,2385,CC
L,L,H,H,M,M,H,H,17683,FC
L,L,H,H,M,M,H,H,9321,CC
L,L,H,H,M,M,H,H,10708,CC
L,L,H,H,M,M,H,H,6416,CC
L,L,H,H,M,M,H,H,10183,FC
L,L,H,H,M,M,H,H,13286,FC
L,L,H,H,M,M,H,H,10472,CC
L,L,H,H,M,M,H,H,11360,CC
L,L,H,H,M,M,H,H,4464,CC
L,L,H,H,M,M,M,M,8904,FC
L,L,H,H,M,M,H,H,4680,CC
L,L,H,H,M,M,H,H,5778,CC
L,L,H,H,M,M,H,H,22244,CC
L,L,H,H,M,M,H,H,24886,CC
L,L,H,H,M,M,H,H,7922,CC
L,L,H,H,M,M,M,M,6824,SC
L,L,H,H,M,M,H,H,6990,CC
L,L,H,H,M,M,H,H,7986,FC
L,L,H,H,M,M,H,H,11126,CC
L,L,H,H,M,M,H,H,10768,CC
L,L,H,H,M,M,H,H,13399,FC
L,L,H,H,M,M,H,H,71943,CC
L,L,H,H,M,M,H,H,28042,SC
H,L,M,H,L,M,H,L,4296,FC
H,L,M,H,L,M,M,H,20209,SC
H,L,M,H,L,M,M,H,9825,FC
H,L,M,H,L,M,H,L,101139,FC
H,L,M,H,L,M,M,H,17068,FC
H,L,M,H,L,M,M,H,7828,CC
H,L,M,H,L,M,M,H,2825,FC
H,L,M,H,L,M,L,M,11396,FC
H,L,M,H,L,M,M,H,13672,CC
H,L,M,H,L,M,M,H,8287,CC
H,L,M,H,L,M,M,H,5720,CC
H,L,M,H,L,M,M,H,7623,CC
H,L,M,H,L,M,M,H,5977,FC
H,L,M,H,L,M,M,H,11521,CC
H,L,M,H,L,M,M,H,19586,CC
H,L,M,H,L,M,M,H,32448,FC
H,L,M,H,L,M,H,L,15606,FC
H,L,M,H,L,M,M,H,8321,FC
H,L,M,H,L,M,M,H,8581,CC
