participant_id,r1_choice,r1_choice,r3_choice,r4_choice,r5_choice,r6_choice,r7_choice,r8_choice,r9_choice,r10_choice,r11_choice,r12_choice,r13_choice,r14_choice,r15_choice,r16_choice,r17_choice,r18_choice,r19_choice,r20_choice
1,HH,MH,MM,HL,HL,MM,HL,LH,HL,LL,MM,HL,LH,LH,LM,MM,LM,LH,MM,LM
2,HH,MH,HL,LH,HL,HH,MH,MM,MM,HL,HH,MH,MM,MM,HL,HH,MH,MM,MM,MH
3,HH,MH,MM,LH,MH,HH,MH,MM,HL,HL,HH,HL,MM,LH,HL,HH,MH,MM,LH,MH
4,HH,HL,MM,MM,HL,HH,HL,HL,MM,HL,HH,MH,MM,LH,HL,HH,HL,MM,LH,HL
5,HH,MH,LH,LH,MH,HH,MH,MM,LH,MH,HH,MH,MM,LH,MH,HH,MH,MM,MM,MH
6,HH,MH,MM,MM,HL,HH,MH,MM,MM,MH,HH,MH,MM,LH,MH,HH,MH,LH,MM,MH
7,HH,MH,LH,LH,MH,HH,MH,MM,LH,MH,HH,MH,MM,LH,MH,HH,MH,LH,MM,MH
8,MM,HL,MM,MM,MH,HH,LM,HL,MM,MH,HH,MH,MM,LH,HL,HH,MH,LH,LH,MH
9,HH,HL,MM,LH,MH,HH,MH,MM,LH,HL,HH,MH,MM,HL,HL,HH,HL,MM,MM,MH
10,HH,MH,LH,LH,MH,HH,MH,MM,MM,MH,HH,MH,MM,LH,MH,HH,MH,MM,MM,MH
11,HH,MH,MM,LH,MH,HH,MH,MM,LH,HL,HH,MH,MM,LH,HL,HH,MH,LH,MM,MH
12,HH,MH,MM,LH,MH,MM,MH,MM,LH,MH,HH,MH,LH,LH,MH,HH,LM,MM,LH,MH
13,HH,MH,HL,LH,HL,HH,MH,MM,LH,HL,HH,MH,MM,MM,HL,HH,MH,LH,MM,HL
14,HH,MH,MM,MM,MH,HH,MH,MM,MM,MH,HH,MH,MM,LH,MH,HH,MH,LH,LH,MH
15,HH,MH,MM,LH,MH,HH,MH,MM,LH,MH,HH,MH,MM,HL,MH,HH,MH,MM,MM,MH
16,HH,MH,MM,LH,MH,HH,MH,MM,LH,MH,HH,MH,MM,LH,MH,HH,MH,MM,MM,MH
17,HH,MH,HL,HL,HL,HH,HL,MM,MM,HL,HH,HL,MM,MM,HL,HH,MH,MM,MM,HL
18,HH,MH,MM,LH,MH,MM,MH,MM,LH,MH,HH,MH,MM,MM,MH,HH,MH,MM,MM,HL
19,HH,MH,MM,LH,MH,HH,MH,MM,LH,HL,HH,MH,MM,LH,HL,HH,MH,MM,LH,MH
20,HH,HL,MM,MM,HL,HH,MH,MM,LH,HL,HH,MH,MM,MM,MH,HH,MH,MM,MM,MH
21,HH,HL,MM,MM,HL,HH,MH,MM,MM,HL,HH,MH,MM,MM,HL,HH,LM,MM,MM,MH
22,HH,MH,MM,MM,MH,HH,MH,LH,LH,HL,HH,LM,MM,LH,MH,MM,LM,LH,LH,HL
23,HH,LM,HL,LH,LM,HH,LM,MM,MM,MH,HH,LM,MM,MM,MH,MM,LM,MM,LH,MH
24,HH,MH,LH,LH,HL,HH,HL,MM,LH,MH,HH,MH,MM,MM,MH,HH,MH,MM,MM,MH
25,HH,MH,MM,MM,HL,HH,MH,MM,HL,HL,HH,MH,MM,LH,MH,HH,MH,MM,LH,LM
