participant_id,r1_choice,r1_time,r1_likert,r2_choice,r2_time,r2_likert,r3_choice,r3_time,r3_likert,r4_choice,r4_time,r4_likert,r5_choice,r5_time,r5_likert,r6_choice,r6_time,r6_likert,r7_choice,r7_time,r7_likert,r8_choice,r8_time,r8_likert,r9_choice,r9_time,r9_likert,r10_choice,r10_time,r10_likert,r11_choice,r11_time,r11_likert,r12_choice,r12_time,r12_likert,r13_choice,r13_time,r13_likert,r14_choice,r14_time,r14_likert,r15_choice,r15_time,r15_likert,r16_choice,r16_time,r16_likert,r17_choice,r17_time,r17_likert,r18_choice,r18_time,r18_likert,r19_choice,r19_time,r19_likert,r20_choice,r20_time,r20_likert,q1,q2
1,3,4464,CC,3,3689,FC,3,3272,FC,1,2359,CC,3,1632,CC,3,4752,CC,1,4296,FC,3,5992,CC,1,4000,CC,1,4335,CC,3,5041,CC,1,2808,CC,3,3368,CC,3,3600,CC,1,5816,CC,3,6889,CC,3,6280,FC,3,5272,CC,2,3231,FC,1,8143,CC,The number of reviews and how high the ratings were,"Stars, because the other two required a bit of math to determine which one was better"
2,3,2416,CC,3,3926,FC,1,5015,SC,2,2880,CC,3,7000,CC,2,2385,CC,2,20209,SC,2,4744,SC,2,19575,SC,3,3128,SC,2,2992,CC,2,5800,FC,2,3347,FC,2,7089,SC,3,4992,SC,2,4919,CC,2,8488,CC,2,4400,CC,2,7471,FC,2,3071,CC,"Thinks that ratings below 4 are bad, products with more ratings = more reliable, more than 3 digit reviews and ratings > 4 = more inclined",Preffers stars because he is used to seeing it
3,3,3917,CC,3,5970,CC,3,6437,FC,2,5950,FC,1,5362,FC,2,17683,FC,2,9825,FC,2,8536,FC,1,5450,SC,3,6766,SC,2,9236,CC,1,6011,FC,2,8887,FC,3,8288,SC,3,7212,FC,2,6173,FC,2,9495,FC,2,4501,CC,3,4117,CC,2,4477,CC,Based on the most quantity of items sold with high percentage of rating w sufficient rating count  ,Upvote gives simpler answer if product is good/bad.
4,3,5412,CC,1,6741,FC,3,5107,FC,3,8136,FC,3,3862,CC,2,9321,CC,1,101139,FC,1,14652,CC,2,5648,CC,3,5399,CC,2,10289,CC,2,24345,FC,2,11228,FC,3,6597,CC,3,5019,FC,2,11576,CC,1,13455,CC,2,5326,CC,3,4689,CC,3,9939,FC,Based on higher probability that I'll receive a good product based on the rating score over items sold.,"Stars, easiest to understand."
5,3,10412,CC,3,8020,CC,2,11899,FC,2,7462,CC,1,6900,CC,2,10708,CC,2,17068,FC,2,7206,FC,3,6742,CC,2,5967,CC,2,8219,FC,2,4680,FC,2,5144,FC,3,5821,CC,2,6089,FC,2,4983,CC,2,4314,FC,2,6149,FC,2,6052,CC,2,3647,CC,My rationale for picking products is to see how many people bought the product and how highly rated it is, I found the stars more helpful because I am more used/ more familiar to that system compared to the likes and upvotes
6,3,4017,FC,3,4656,CC,3,3352,CC,3,3407,CC,3,5582,FC,2,6416,CC,2,7828,CC,2,6990,FC,2,9318,FC,2,5903,CC,2,7157,FC,2,4414,FC,2,5097,FC,3,4719,CC,2,5165,FC,2,4196,CC,2,5628,FC,3,4823,FC,2,3102,CC,2,3475,FC,for me showing the number of products and the amout of reviews really help in picking a trusty product,i personally still like the stars as im more used to it however the percentage with likes was kinda unique and would like to try using that
7,3,6781,FC,3,2028,FC,2,2916,SC,2,2224,CC,1,2716,FC,2,10183,FC,2,2825,FC,2,11961,FC,3,3333,CC,2,11002,FC,2,3596,CC,2,4669,FC,2,5363,FC,3,5289,SC,2,5783,SC,2,5872,FC,2,2878,SC,3,5514,SC,2,3238,FC,2,7324,FC,"number of products sold was a factor for seeing how trustworthy the product is, and the average rating as well.","percentage likes was very helpful because people could essentially just spam five star ratings, but not necessarily everyone would like a product which in a way provides significant and substantial product reviews."
8,2,1103,FC,1,8495,FC,3,10794,CC,3,5695,CC,1,6236,CC,2,13286,FC,3,11396,FC,1,10337,CC,2,11454,FC,2,7071,CC,2,10512,FC,2,11111,FC,2,5999,FC,3,8914,FC,3,10966,FC,2,7870,FC,2,5165,FC,3,6515,FC,3,9476,CC,2,5255,CC,"when showing the products sold, it still wasnt that big of a factor. I look at how much people actually reviewed the product.",I like the like system as it basically implies that i liked the product.
9,3,12201,CC,1,9768,CC,3,11840,FC,2,27088,FC,1,19192,FC,2,10472,CC,2,13672,CC,2,10312,FC,3,22744,FC,3,15616,FC,2,11248,CC,2,38384,CC,2,20160,FC,1,44112,FC,3,9792,FC,2,6768,CC,1,12752,FC,2,11400,FC,2,33488,FC,2,9072,FC,rating based,"stars, short span of time makikita mo yung rating"
10,3,12000,CC,3,6320,CC,2,3056,CC,2,4016,CC,1,5304,CC,2,11360,CC,2,8287,CC,2,14319,CC,2,11159,CC,2,13904,CC,2,8712,CC,2,6639,CC,2,8791,CC,3,13768,CC,2,6536,CC,2,5784,CC,2,6512,CC,2,9712,CC,2,16056,CC,2,6032,CC,most number of products sold and reviews given.,stars because it depicts other buyers ranking of the product sold
