participant_id,r1_time,r2_time,r3_time,r4_time,r5_time,r6_time,r7_time,r8_time,r9_time,r10_time,r11_time,r12_time,r13_time,r14_time,r15_time,r16_time,r17_time,r18_time,r19_time,r20_time
1,4464,3689,3272,2359,1632,4752,4296,5992,4000,4335,5041,2808,3368,3600,5816,6889,6280,5272,3231,8143
2,2416,3926,5015,2880,7000,2385,20209,4744,19575,3128,2992,5800,3347,7089,4992,4919,8488,4400,7471,3071
3,3917,5970,6437,5950,5362,17683,9825,8536,5450,6766,9236,6011,8887,8288,7212,6173,9495,4501,4117,4477
4,5412,6741,5107,8136,3862,9321,101139,14652,5648,5399,10289,24345,11228,6597,5019,11576,13455,5326,4689,9939
5,10412,8020,11899,7462,6900,10708,17068,7206,6742,5967,8219,4680,5144,5821,6089,4983,4314,6149,6052,3647
6,4017,4656,3352,3407,5582,6416,7828,6990,9318,5903,7157,4414,5097,4719,5165,4196,5628,4823,3102,3475
7,6781,2028,2916,2224,2716,10183,2825,11961,3333,11002,3596,4669,5363,5289,5783,5872,2878,5514,3238,7324
8,1103,8495,10794,5695,6236,13286,11396,10337,11454,7071,10512,11111,5999,8914,10966,7870,5165,6515,9476,5255
9,12201,9768,11840,27088,19192,10472,13672,10312,22744,15616,11248,38384,20160,44112,9792,6768,12752,11400,33488,9072
10,12000,6320,3056,4016,5304,11360,8287,14319,11159,13904,8712,6639,8791,13768,6536,5784,6512,9712,16056,6032
11,5688,12880,7272,8736,8928,4464,5720,6408,6152,8480,13912,6848,7616,8024,8960,7504,4544,7328,5816,4375
12,9984,7808,9096,6672,5280,8904,7623,20311,6455,8512,26352,8080,33080,28951,4137,10448,8871,4736,1912,1360
13,4717,5211,4498,6903,8194,4680,5977,8333,8364,6908,6941,6177,8835,4891,3415,4282,3449,2828,10928,4902
14,4230,10893,6873,8895,5847,5778,11521,10202,10143,16073,3353,11236,11644,13019,6438,4282,5774,44066,4100,3882
15,8216,49915,42299,5807,13849,22244,19586,20129,8311,8119,63125,8251,16135,17656,22532,5959,11613,8823,8243,6440
16,5581,9385,8125,8183,13378,24886,32448,32511,11945,7108,14998,8500,8519,8761,5387,8408,8171,15979,40815,17025
17,7637,13752,17269,19879,21707,7922,15606,17037,31167,6295,4516,11959,8420,5922,8256,3100,30032,10068,8188,9544
18,6241,6772,8150,24969,11110,6824,8321,12110,10654,11319,6059,5782,7494,8441,4202,4334,5041,4445,5438,18007
19,5027,7907,9144,5923,9127,6990,8581,5329,8790,10727,5956,6588,8452,7688,4721,4767,5634,6717,5126,7980
20,5368,12366,4173,4176,4736,7986,9167,10541,10941,5134,7796,7551,6552,12263,9328,13517,7786,3839,2481,3990
21,10794,24059,8335,5485,7774,11126,18017,15258,6105,4548,15241,11903,11231,16274,7775,8278,14279,7459,10074,9058
22,8530,10152,7939,7734,11651,10768,6435,9558,5522,15834,14715,16483,15159,7763,12559,19858,14378,7819,10332,10601
23,7382,8132,10751,13832,7832,13399,7057,8924,8867,8578,8822,10773,8807,6970,7128,11142,6729,10138,8091,7276
24,5259,11554,3483,2611,15142,71943,22628,6263,5446,4324,7379,6783,7066,104720,9269,12486,1703,9849,7023,40409
25,10185,12400,11487,31510,8463,28042,7487,9447,18346,9539,11496,15992,5857,5978,11454,44938,6101,9858,7201,13591
